Bucket,Epico,Card,StoryPoints,Status,Objective,Checklist
Done,"EPICO 1 - Infraestrutura Docker","Estrutura base do repositorio",3,Done,"ambiente local reproduzivel para desenvolvimento e validacao","Monorepo com pastas modules/spa modules/api modules/services modules/data modules/ml | README principal criado"
Done,"EPICO 1 - Infraestrutura Docker","Docker Compose do MVP local",5,Done,"ambiente local reproduzivel para desenvolvimento e validacao","docker-compose.yml na raiz | Rede interna e volumes persistentes | Dependencias entre servicos | Healthchecks basicos"
Done,"EPICO 1 - Infraestrutura Docker","Persistencia local",3,Done,"ambiente local reproduzivel para desenvolvimento e validacao","Postgres | Redis | MinIO | Init de buckets MinIO"
Done,"EPICO 1 - Infraestrutura Docker","Servicos de desenvolvimento",2,Done,"ambiente local reproduzivel para desenvolvimento e validacao","PgAdmin por profile opcional | Console MinIO disponivel"
Done,"EPICO 2 - Baseline de arquitetura dos componentes","API em modular monolith",5,Done,"padronizar arquitetura de codigo conforme recomendacao tecnica","Registro de modulo em src/modules/users/module.py | Bootstrap da API atualizado para registrar modulos | README do modulo API atualizado"
Done,"EPICO 2 - Baseline de arquitetura dos componentes","Servicos HTTP em camadas",13,Done,"padronizar arquitetura de codigo conforme recomendacao tecnica","risk-scoring-engine | clinical-guidelines-validator | recommendation-engine | scheduling-service | population-data-service | wearable-connector | wearable-mock-apis | ml-inference-service | Estrutura presentation/application/domain/infrastructure"
Done,"EPICO 2 - Baseline de arquitetura dos componentes","Workers batch em pipeline",8,Done,"padronizar arquitetura de codigo conforme recomendacao tecnica","wearable-sync-worker com estagios de pipeline | data-worker-etl com extract -> validate -> transform -> persist | Estrutura pipeline/steps infrastructure observability"
Done,"EPICO 2 - Baseline de arquitetura dos componentes","SPA orientada a feature",8,Done,"padronizar arquitetura de codigo conforme recomendacao tecnica","core/layout/app-shell.component.ts | Features separadas por rota | Rotas / /risk /recommendations /wearables /scheduling | README do SPA atualizado"
Done,"EPICO 3 - Documentacao e alinhamento tecnico","Atualizacao dos READMEs dos submodulos",5,Done,"manter documentacao alinhada ao estado implementado","modules/api/README.md | modules/services/README.md | modules/data/README.md | modules/ml/README.md | modules/spa/README.md | READMEs dos componentes internos atualizados"
Done,"EPICO 3 - Documentacao e alinhamento tecnico","Plano de testes funcionais dos contextos da API",3,Done,"manter documentacao alinhada ao estado implementado","TEST_PLAN_USERS_FUNCTIONAL.md | TEST_PLAN_PATIENTS_FUNCTIONAL.md | TEST_PLAN_RECOMMENDATIONS_FUNCTIONAL.md | TEST_PLAN_SCHEDULING_FUNCTIONAL.md | Suites em tests/functional/users patients recommendations scheduling"
Done,"EPICO 3 - Documentacao e alinhamento tecnico","Atualizacao dos ponteiros de submodulo",2,Done,"manter documentacao alinhada ao estado implementado","Commits por submodulo no padrao conventional commits | Commit da raiz com referencias atualizadas | Push executado em todos os remotos"
Done,"EPICO 4 - Backend de negocio (MVP funcional)","Expandir API alem de usuarios",8,Done,"sair de baseline arquitetural para fluxo funcional real no backend","Contexto users com persistencia Postgres + Redis | IDs UUID em users | Migration 0002_users_id_uuid aplicada | Contexto patients no modular monolith | Contexto recommendations na API | Contexto scheduling na API | Contratos entre API e servicos internos"
In Progress,"EPICO 4 - Backend de negocio (MVP funcional)","Persistencia real nos servicos",8,"In progress","sair de baseline arquitetural para fluxo funcional real no backend","Repositorios reais (Postgres/Redis) no lugar de stubs in-memory | Migrations para tabelas de wearables e recomendacoes | Idempotencia de operacoes de agendamento/sync"
Backlog,"EPICO 5 - Dados e ETL funcional","Integrar ETL com MinIO e metadata",8,Backlog,"tornar o pipeline de dados operacional no MinIO/Postgres","Escrita real em raw processed curated | Metadata de execucao por run | Retentativas e falha por etapa"
Backlog,"EPICO 5 - Dados e ETL funcional","Lifestyle features completas",8,Backlog,"tornar o pipeline de dados operacional no MinIO/Postgres","Implementar conjunto completo de lifestyle features | Versionar features por janela temporal | Expor para inferencia"
Backlog,"EPICO 6 - ML funcional","Carregamento de modelo real",8,Backlog,"passar de inferencia stub para modelo versionado real","Artefato de modelo local versionado | POST /predict com inferencia real | Validacao de payload e fallback clinico-only"
Backlog,"EPICO 6 - ML funcional","Integracao risk -> validator -> recommendation",8,Backlog,"passar de inferencia stub para modelo versionado real","Encadear chamadas entre servicos | Persistir saida dual (PredicaoRisco[] + HealthScore) | Auditoria da validacao clinica"
Backlog,"EPICO 7 - Frontend E2E","Conectar paginas de feature na API",8,Backlog,"entregar fluxo navegavel com dados reais da API","Dashboard com dados reais | Tela de risco com retorno de engine | Tela de recomendacoes com priorizacao"
Backlog,"EPICO 7 - Frontend E2E","Fluxo de wearables e agendamento",8,Backlog,"entregar fluxo navegavel com dados reais da API","Conectar/disconectar dispositivos | Exibir estado de sincronizacao | Agendar a partir de recomendacao"
Backlog,"EPICO 8 - Hardening e prontidao cloud","Observabilidade e resiliencia",5,Backlog,"preparar migracao segura do MVP local para cloud","Correlation ID fim-a-fim | Timeouts/retries/circuit breaker | Metricas por endpoint/job"
Backlog,"EPICO 8 - Hardening e prontidao cloud","Preparacao de deploy",5,Backlog,"preparar migracao segura do MVP local para cloud","Parametrizacao por ambiente | Mapa .env -> secrets gerenciados | Checklist de rollout"
